dataset,series_id,origin_id,origin_date,forecast_date,actual
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-19,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-20,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-21,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-22,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-23,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-24,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-25,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-26,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-27,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-28,0.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-01,16.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-02,17.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-03,20.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-04,17.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-05,17.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-06,22.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-07,17.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-08,9.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-09,18.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-10,15.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-11,22.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-12,17.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-13,23.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-14,13.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-15,11.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-16,23.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-17,19.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-18,21.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-19,25.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-20,25.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-21,22.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-22,17.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-23,19.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-24,18.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-25,27.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-26,22.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-27,28.0
store_item_demand,S01_I01,1,2016-03-01,2016-03-28,16.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-01,57.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-02,45.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-03,58.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-04,61.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-05,71.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-06,66.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-07,44.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-08,35.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-09,54.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-10,42.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-11,44.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-12,61.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-13,59.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-14,43.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-15,44.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-16,46.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-17,54.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-18,62.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-19,53.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-20,63.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-21,39.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-22,52.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-23,49.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-24,54.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-25,61.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-26,53.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-27,66.0
store_item_demand,S01_I02,1,2016-03-01,2016-03-28,39.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-01,19.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-02,16.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-03,27.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-04,23.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-05,37.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-06,27.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-07,13.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-08,19.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-09,28.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-10,30.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-11,23.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-12,22.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-13,27.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-14,17.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-15,17.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-16,20.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-17,21.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-18,23.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-19,35.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-20,23.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-21,24.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-22,18.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-23,20.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-24,23.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-25,23.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-26,34.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-27,26.0
store_item_demand,store_10_item_1,1,2016-03-01,2016-03-28,26.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-01,76.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-02,70.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-03,64.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-04,81.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-05,91.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-06,126.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-07,58.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-08,71.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-09,75.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-10,73.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-11,78.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-12,86.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-13,92.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-14,72.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-15,82.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-16,75.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-17,90.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-18,72.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-19,93.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-20,86.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-21,63.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-22,59.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-23,59.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-24,77.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-25,96.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-26,72.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-27,113.0
store_item_demand,store_10_item_10,1,2016-03-01,2016-03-28,63.0
